Timestamp,Prediction,Probability
2025-04-15 22:59:07,Tomat Masih Segar,0.9659
2025-04-15 22:59:07,Tomat Masih Segar,0.9260
2025-04-15 22:59:08,Tomat Masih Segar,0.9658
2025-04-15 22:59:08,Tomat Masih Segar,0.9413
2025-04-15 22:59:09,Tomat Masih Segar,0.9042
2025-04-15 22:59:09,Tomat Masih Segar,0.8997
2025-04-15 22:59:10,Tomat Masih Segar,0.8978
2025-04-15 22:59:10,Tomat Masih Segar,0.9160
2025-04-15 22:59:10,Tomat Masih Segar,0.9507
2025-04-15 22:59:11,Tomat Masih Segar,0.9640
2025-04-15 22:59:11,Tomat Masih Segar,0.9631
2025-04-15 22:59:12,Tomat Masih Segar,0.9414
2025-04-15 22:59:12,Tomat Masih Segar,0.9652
2025-04-15 22:59:12,Tomat Masih Segar,0.9665
2025-04-15 22:59:13,Tomat Masih Segar,0.9394
2025-04-15 22:59:13,Tomat Masih Segar,0.9654
2025-04-15 22:59:14,Tomat Masih Segar,0.9652
2025-04-15 22:59:14,Tomat Masih Segar,0.9549
2025-04-15 22:59:14,Tomat Masih Segar,0.9612
2025-04-15 22:59:15,Tomat Masih Segar,0.9375
2025-04-15 22:59:15,Tomat Masih Segar,0.9686
2025-04-15 22:59:16,Tomat Masih Segar,0.9495
2025-04-15 22:59:16,Tomat Masih Segar,0.9404
2025-04-15 22:59:16,Tomat Masih Segar,0.9587
2025-04-15 22:59:17,Tomat Masih Segar,0.9073
2025-04-15 22:59:17,Tomat Masih Segar,0.9578
2025-04-15 22:59:18,Tomat Masih Segar,0.9321
2025-04-15 22:59:19,Tomat Masih Segar,0.9554
2025-04-15 22:59:19,Tomat Masih Segar,0.9357
2025-04-15 22:59:20,Tomat Masih Segar,0.9620
2025-04-15 22:59:20,Tomat Masih Segar,0.9407
2025-04-15 22:59:20,Tomat Masih Segar,0.9588
2025-04-15 22:59:21,Tomat Masih Segar,0.9697
2025-04-15 22:59:21,Tomat Masih Segar,0.9556
2025-04-15 22:59:22,Tomat Masih Segar,0.9437
2025-04-15 22:59:22,Tomat Masih Segar,0.9499
2025-04-15 22:59:23,Tomat Masih Segar,0.9486
2025-04-15 22:59:23,Tomat Masih Segar,0.9484
2025-04-15 22:59:23,Tomat Masih Segar,0.9165
2025-04-15 22:59:24,Tomat Masih Segar,0.9682
2025-04-15 22:59:24,Tomat Masih Segar,0.9216
2025-04-15 22:59:25,Tomat Masih Segar,0.9553
2025-04-15 22:59:25,Tomat Masih Segar,0.9478
2025-04-15 22:59:25,Tomat Masih Segar,0.9335
2025-04-15 22:59:26,Tomat Sudah Membusuk,0.9710
2025-04-15 22:59:26,Tomat Masih Segar,0.9564
2025-04-15 22:59:27,Tomat Masih Segar,0.9509
2025-04-15 22:59:27,Tomat Masih Segar,0.9637
2025-04-15 22:59:28,Tomat Masih Segar,0.9403
2025-04-15 22:59:28,Tomat Sudah Membusuk,0.9712
2025-04-15 22:59:28,Tomat Masih Segar,0.9650
2025-04-15 22:59:29,Tomat Masih Segar,0.9409
2025-04-15 22:59:30,Tomat Masih Segar,0.9493
2025-04-15 22:59:30,Tomat Masih Segar,0.9670
2025-04-15 22:59:31,Tomat Masih Segar,0.9515
2025-04-15 22:59:31,Tomat Masih Segar,0.9684
2025-04-15 22:59:32,Tomat Masih Segar,0.9616
2025-04-15 22:59:32,Tomat Masih Segar,0.9522
2025-04-15 22:59:33,Tomat Masih Segar,0.9421
2025-04-15 22:59:33,Tomat Masih Segar,0.9263
2025-04-15 22:59:34,Tomat Masih Segar,0.9682
2025-04-15 22:59:34,Tomat Masih Segar,0.9646
2025-04-15 22:59:34,Tomat Sudah Membusuk,0.9771
2025-04-15 22:59:35,Tomat Masih Segar,0.9540
2025-04-15 22:59:35,Tomat Masih Segar,0.9587
2025-04-15 22:59:36,Tomat Masih Segar,0.9683
2025-04-15 22:59:37,Tomat Masih Segar,0.9390
2025-04-15 22:59:37,Tomat Sudah Membusuk,0.9715
2025-04-15 22:59:37,Tomat Masih Segar,0.9665
2025-04-15 22:59:38,Tomat Masih Segar,0.9680
2025-04-15 22:59:38,Tomat Masih Segar,0.9656
2025-04-15 22:59:39,Tomat Masih Segar,0.9650
2025-04-15 22:59:42,Tomat Masih Segar,0.9551
2025-04-15 22:59:43,Tomat Masih Segar,0.9355
2025-04-15 22:59:43,Tomat Sudah Membusuk,0.9740
2025-04-15 22:59:44,Tomat Masih Segar,0.9608
2025-04-15 22:59:44,Tomat Masih Segar,0.9614
2025-04-15 22:59:45,Tomat Masih Segar,0.9666
2025-04-15 22:59:45,Tomat Masih Segar,0.9348
2025-04-15 22:59:45,Tomat Masih Segar,0.9509
2025-04-15 22:59:46,Tomat Masih Segar,0.9583
2025-04-15 22:59:46,Tomat Masih Segar,0.9527
2025-04-15 22:59:47,Tomat Masih Segar,0.9277
2025-04-15 22:59:47,Tomat Masih Segar,0.9542
2025-04-15 22:59:48,Tomat Masih Segar,0.9469
2025-04-15 22:59:48,Tomat Masih Segar,0.9413
2025-04-15 22:59:49,Tomat Masih Segar,0.9422
2025-04-15 22:59:49,Tomat Masih Segar,0.9437
2025-04-15 22:59:50,Tomat Masih Segar,0.9437
2025-04-15 22:59:50,Tomat Masih Segar,0.9140
2025-04-15 22:59:51,Tomat Masih Segar,0.9643
2025-04-15 22:59:51,Tomat Masih Segar,0.9390
2025-04-15 22:59:51,Tomat Masih Segar,0.9374
2025-04-15 22:59:52,Tomat Masih Segar,0.9439
2025-04-15 22:59:52,Tomat Masih Segar,0.9065
2025-04-15 22:59:53,Tomat Masih Segar,0.9389
2025-04-15 22:59:53,Tomat Masih Segar,0.9531
2025-04-15 22:59:54,Tomat Masih Segar,0.9575
2025-04-15 22:59:54,Tomat Masih Segar,0.9233
2025-04-15 22:59:54,Tomat Masih Segar,0.9297
2025-04-15 22:59:55,Tomat Masih Segar,0.9681
2025-04-15 22:59:55,Tomat Masih Segar,0.9093
2025-04-15 22:59:56,Tomat Masih Segar,0.9408
2025-04-15 22:59:56,Tomat Masih Segar,0.9448
2025-04-15 22:59:57,Tomat Masih Segar,0.9019
2025-04-15 22:59:57,Tomat Masih Segar,0.9601
2025-04-15 22:59:58,Tomat Masih Segar,0.9510
